,MainAnimation,TXMN ID,TXMN Blurb,TXMN Element,TXMN Category,TXMN Family,Tags,TXMN Accuracy,TXMN Potency,TXMN Power,TXMN Recharge,TXMN Healing Power,TXMN Is fast,TXMN Effects,TXMN User Condition,TXMN Target Condition,TXMN Animation Target
Adamantine,,120,The user's body glows intensely before it delivers a crushing blow.,Metal,Touch,Reserved,Reserved,100%,,3,2,,Very Slow,,,,1
Revenge Stance,,181,"The user adopts a defensive posture, provoking the opponent into attacking first, while preparing for revenge.",Normal,Special,Condition imposer,SoldierShieldedFury,100%,100%,,1,,Normal,,Revenge,,
Stabilo,,108,The user summons a barrage of sharp wooden splinters that pierce the opponent.,Wood,Reliable,Simple,PlantSharp,60%,,1,2,,Normal,Multi attack 3,,,1
Vorpal,,155,"The user unleashes a devastating, precision strike that inflicts severe damage and fills the opponent with a burning desire for revenge.",Metal,Melee,Reserved,Reserved,95%,100%,3,3,,Fast,,,Revenge,1
Inner Power,,,The user calls upon their inner power to unleash an attack of the same type.,Normal,Melee,Simple,Universal,100%,,2,1,,Normal,Movetype user,,,0
Beam,,18,"A concentrated beam of energy is fired from the user's eyes, blinding the opponent.",Heroic,Ranged,Simple,Light,100%,75%,2,2,,Normal,,,Blinded,2
Water Blast,,195,"The user unleashes a powerful blast of water, striking the opponent with a torrent of liquid force, dealing damage.",Water,Ranged,Simple,Water,100%,,2.3,1,,Normal,,,,1
Electric Multibite,,220,The user bites repeatedly while channeling electricity. May shock the target.,Lightning,Touch,Exotic,BiteElectricity,90%,15%,1.2,3,,Fast,Multi attack 2,,Slow,1
Crushing Bite,,216,The user bites down with bone-crushing force. May leave the target unable to act.,Normal,Touch,Simple,Bite,90%,20%,1.8,2,,Very Slow,,,Stuck,1
Grinding,,109,"The user relentlessly batters the opponent with a barrage of grinding blows, wearing them down with sustained pressure.",EarthMetal,Melee,Simple,Rock,75%,,2.2,2,,Slow,,,,1
Clamp On,,17,The user latches onto the opponent with its powerful jaws.,Normal,Special,Exotic,BiteBugFury,100%,100%,,3,,Normal,,Diehard,Grabbed,1
Steel Jaws,,217,The user clamps down with jaws reinforced by metal. A powerful biting attack.,Metal,Touch,Powerful,BiteSteel,95%,,2.5,3,,Normal,,,,2
Platinum,,143,"The user's body becomes infused with a lustrous metal, granting it increased defense and the ability to inflict damage.",Metal,Melee,Simple,GemstoneMachineShieldedSteel,70%,70%,1.7,2,,Normal,,Focused,Softened,1
Bubble Trap,,57,The user creates a large bubble that traps both itself and the opponent.,Cosmic,Reach,Exotic,SummonerMental,75%,100%,2.25,3,,Normal,,Grabbed,Grabbed,2
Bubbles,,214,"The user blows a wide jet of bubbles at the target, weak but difficult to avoid.",Water,Ranged,Simple,AmphibianWater,100%,,1.4,1,,Normal,,,,1
Fume,,28,The user becomes enraged.,Normal,Special,Condition imposer,Fury,100%,100%,,1,,Normal,,Enraged,,0
Goad,,39,"The user taunts the opponent, causing them to become enraged.",Normal,Melee,Simple,SpeedShielded,80%,80%,1.75,2,,Very Fast,,,Enraged,1
Gourmet,,234,"The user devours a nourishing meal, restoring their vitality and rejuvenating their spirits.",Cosmic,Special,Condition imposer,Food,100%,100%,,3,2,Normal,,Recovering,,0
Heavenly Desserts,,233,A bizarre move that can both heal you and send you to heaven by how good it tastes.,Cosmic,Ranged,Reserved,Food,90%,100%,3,3,,Normal,,,Recovering,1
Piece of Cake,,228,"The user enters a state of effortless ease, healing their wounds and restoring their vitality as everything becomes as simple as enjoying a delicious cake.",Normal,Special,Condition imposer,Food,100%,100%,,2,0.5,Fast,,Charging,,
Potluck,,235,"The user and opponent engage in a mutual exchange of gifts, fostering a brief moment of camaraderie in the midst of battle.",Normal,Special,Special,Food,100%,80%,,1,1,Normal,,Exhausted,Nodding Off,0
Cat Calling,,124,The user emits a high-pitched cry that distracts the opponent.,Cosmic,Special,Condition imposer,LoveLeadership,100%,100%,,2,,Normal,,,Charmed,1
Midnight Mantle,,55,"The user shrouds itself in a cloak of darkness, striking out with shadowy tendrils that inflict damage and disorient the opponent.",Shadow,Ranged,Basic,DarknessCelestial,60%,,1.25,1,,Very Fast,Splash,,,1
Canine,,123,"The user unleashes a primal, ferocious attack that sends the opponent into a frenzy.",Normal,Special,Condition imposer,ShapeshifterFury,100%,100%,,2,,Normal,,,Wild,1
Feline,,129,The user focuses its predatory instincts.,Normal,Special,Condition imposer,SpeedShapeshifter,100%,100%,,2,,Very Fast,,Wild,,1
